# Energy	Aggregated during	Calculated after	Total
0.5275	0.0378481179473005	5.72409943754845e-06	0.0378538420467381
0.53	0.0371796607095685	4.95602917839863e-06	0.0371846167387469
0.5325	0.0360814619423865	4.66468537696657e-06	0.0360861266277634
0.535	0.034589655236322	4.31050748994233e-06	0.0345939657438119
0.5375	0.0327416115630184	3.62892876540347e-06	0.0327452404917838
0.54	0.0305747634491549	3.46346225942694e-06	0.0305782269114144
0.5425	0.0281300780435244	3.59199876190783e-06	0.0281336700422863
0.545	0.0254578577626394	2.59643606871179e-06	0.0254604541987082
0.5475	0.0226223879130801	2.48551768785286e-06	0.022624873430768
0.55	0.0197030363418004	2.32365057430191e-06	0.0197053599923747
0.5525	0.0167904761026456	3.15967135281924e-06	0.0167936357739984
0.555	0.0139790167870865	3.31833683643267e-06	0.0139823351239229
0.5575	0.0113569342767306	2.10369897985291e-06	0.0113590379757105
0.56	0.0089976089324679	2.17919106726722e-06	0.00899978812353516
0.5625	0.00695361230392879	2.05779138346584e-06	0.00695567009531225
0.565	0.00525492024880138	1.75645960945814e-06	0.00525667670841084
0.5675	0.00391068428533222	1.73490591118982e-06	0.00391241919124341
0.57	0.00291347771851737	1.55418236863387e-06	0.002915031900886
0.5725	0.00224402782817475	1.44808156909306e-06	0.00224547590974385
0.575	0.00187515665297944	5.69784983132885e-07	0.00187572643796257
0.5775	0.00177422699391063	2.17213867601576e-06	0.00177639913258664
0.58	0.00190413100970043	2.25362598987403e-06	0.0019063846356903
0.5825	0.00222400141033827	2.64098702372494e-06	0.002226642397362
0.585	0.00269028324542867	1.32984942851292e-06	0.00269161309485718
0.5875	0.00325893768610123	1.80575102314533e-06	0.00326074343712437
0.59	0.0038886087875236	3.94275970645626e-07	0.00388900306349425
0.5925	0.00454422027679391	-2.63020704277486e-07	0.00454395725608964
0.595	0.00519977506236854	1.09330949800371e-06	0.00520086837186655
0.5975	0.00583947733373238	1.30346170069233e-06	0.00584078079543308
0.6	0.00645688580124253	6.24600954998077e-07	0.00645751040219753
0.6025	0.00705202638165918	7.68378809803109e-07	0.00705279476046898
0.605	0.00762758875281657	5.41276437042181e-07	0.00762813002925361
0.6075	0.00818530782800494	4.08613761927452e-07	0.00818571644176687
0.61	0.00872353609176745	7.55208820959434e-07	0.00872429130058841
0.6125	0.00923676006613592	2.72060065562186e-07	0.00923703212620148
0.615	0.00971683457851532	-4.41845013546449e-07	0.00971639273350177
0.6175	0.0101553771846124	9.32365776639742e-07	0.010156309550389
0.62	0.0105462253854152	-4.22757832191469e-07	0.010545802627583
0.6225	0.0108869448366008	9.70944991163136e-07	0.010887915781592
0.625	0.0111787944186068	-7.31290649604015e-07	0.0111780631279572
0.6275	0.0114250668590705	-1.42661541661257e-07	0.0114249241975288
0.63	0.0116283784299143	2.24037801852917e-08	0.0116284008336945
0.6325	0.0117879174040817	2.18415402433816e-07	0.0117881358194841
0.635	0.0118975022887289	2.47547902936492e-07	0.0118977498366319
0.6375	0.0119452668976616	3.21926665190866e-07	0.0119455888243268
0.64	0.011915127053486	3.54126709133174e-07	0.0119154811801951
0.6425	0.011789792087949	5.85496658267811e-07	0.0117903775846073
0.645	0.011554315969393	4.81892991615511e-07	0.0115547978623846
0.6475	0.0111995371031809	1.56514800599822e-06	0.0112011022511869
0.65	0.0107242683607167	5.73738068210391e-07	0.0107248420987849
0.6525	0.0101360259662816	3.16917220221493e-07	0.0101363428835018
0.655	0.00945009832077054	-2.50446812489233e-07	0.00944984787395805
0.6575	0.00868739866553363	4.86397763530094e-07	0.00868788506329716
0.66	0.00787180419779564	2.82313308250766e-07	0.0078720865111039
0.6625	0.0070275826882034	3.08879055601163e-07	0.007027891567259
0.665	0.00617748405316802	1.40561745044311e-07	0.00617762461491306
0.6675	0.0053417545217784	5.44740358791705e-07	0.00534229926213719
0.67	0.0045379178025022	-3.60198162991541e-08	0.0045378817826859
0.6725	0.00378112895870211	1.10557314973933e-07	0.00378123951601708
0.675	0.00308465203621661	9.19299844754762e-08	0.00308474396620108
0.6775	0.00246012127043213	1.50684207542469e-07	0.00246027195463967
0.68	0.00191753647893277	-1.90700572931784e-08	0.00191751740887547
0.6825	0.00146483297416405	1.70050154792216e-07	0.00146500302431884
0.685	0.00110734934331533	2.07978296885243e-07	0.00110755732161221
0.6875	0.000847312139160392	6.14196055919963e-07	0.000847926335216312
0.69	0.000683649503532937	1.41225107251965e-06	0.000685061754605457
0.6925	0.000612139550034931	6.85744101828981e-07	0.00061282529413676
0.695	0.000625844148473206	3.02487493919496e-07	0.000626146635967126
0.6975	0.000715804236405105	1.34632542492094e-07	0.000715938868947597
0.7	0.000871699756753402	-5.27592991728362e-07	0.000871172163761673
0.7025	0.00108238720579592	2.13186508959699e-07	0.00108260039230488
0.705	0.00133627432589039	-1.36909999080258e-07	0.00133613741589131
0.7075	0.00162149347440002	5.582167940682e-08	0.00162154929607943
0.71	0.00192608863779432	1.00702926405254e-07	0.00192618934072073
0.7125	0.00223827675421463	8.11837612120111e-08	0.00223835793797584
0.715	0.00254689624153208	-4.27608182838135e-08	0.0025468534807138
0.7175	0.00284203722024955	6.09471449332129e-08	0.00284209816739449
0.72	0.00311579189966156	-1.97202618682695e-07	0.00311559469704288
0.7225	0.00336286614981108	3.32038093235756e-07	0.00336319818790432
0.725	0.00358092894310777	3.1236484997741e-09	0.00358093206675627
